sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,n_floors,sq_mt_allotment,floor,is_floor_under,rent_price,buy_price,buy_price_by_area,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_accessible,has_green_zones,energy_certificate,has_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,product,neighborhood
64,60,2,1,,,3,0,471,85000,1328,0,False,1960,,,1,0,0,1,0,0,0,0,0,0,0,,0,,,0,1,0,0,piso,135
70,,3,1,,,4,0,666,129900,1856,1,False,,,,0,1,1,1,0,0,1,0,0,0,0,,0,,,,,,,piso,132
94,54,2,2,,,1,0,722,144247,1535,0,False,,0,1,0,1,1,1,0,0,0,0,1,0,0,,0,,,,,,,piso,134
64,,2,1,,,bajo,1,583,109900,1717,0,False,1955,,,0,0,1,1,0,0,0,0,1,1,0,,0,,,0,0,1,0,piso,134
108,90,2,2,,,4,0,1094,260000,2407,0,False,2003,,,1,1,1,1,0,1,0,0,1,0,1,,1,1,0,1,1,1,1,piso,133
126,114,4,2,,,3,0,901,195000,1548,0,False,1981,0,1,0,0,0,1,0,0,1,1,0,1,0,,1,1,0,0,0,0,1,piso,134
120,100,5,2,,,1,0,884,190000,1583,0,False,,0,1,1,1,0,1,0,1,1,1,1,0,1,,1,1,0,0,0,1,0,piso,134
125,100,3,2,,,2,0,912,198500,1588,0,False,,,,1,1,0,1,0,0,1,0,0,0,0,,0,,,0,0,1,0,piso,134
84,70,3,2,,,,,954,212000,2524,0,False,,,,1,1,1,1,0,1,0,0,1,1,1,,1,1,0,,,,,piso,131
85,,2,1,,,7,0,672,131400,1546,1,False,1950,0,1,0,0,0,1,0,0,1,0,0,0,0,,0,,,0,1,0,0,piso,133
69,,2,2,,,2,0,617,118000,1710,1,False,1963,,,0,0,0,1,0,0,1,0,0,0,0,,0,,,,,,,piso,134
122,98,3,2,,,6,0,1058,246900,2024,0,False,,,,1,1,1,,0,1,0,0,1,0,1,,1,1,0,,,,,piso,131
123,104,3,2,,,4,0,901,195000,1585,0,False,1992,,,1,1,1,1,0,0,0,0,0,0,0,,0,,,0,0,0,1,piso,133
109,90,3,2,,,3,0,933,205000,1881,0,False,1983,,,0,1,1,1,0,0,1,0,1,0,0,,0,,,0,0,1,0,piso,132
64,,3,1,,,3,0,408,72000,1125,0,False,1960,0,1,0,0,0,1,0,0,1,0,0,0,0,,0,,,,,,,piso,135
115,,3,1,,,3,0,780,160000,1391,0,False,,0,1,1,0,,1,0,0,1,0,1,0,0,,0,,,,,,,piso,133
115,88,3,1,,,1,0,867,184900,1608,0,False,,0,1,1,0,0,1,0,0,1,0,0,0,0,,0,,,,,,,piso,133
65,,3,1,,,4,0,494,90000,1385,0,False,,,,0,0,0,1,0,0,1,0,0,0,0,,0,,,,,,,piso,132
75,,3,1,,,3,0,666,129900,1732,1,False,,,,0,0,1,1,0,0,1,0,0,0,0,,0,,,,,,,piso,134
60,,2,1,,,bajo,1,516,94900,1582,0,False,,,,1,1,0,1,0,0,0,0,0,0,0,,0,,,,,,,piso,135
60,,2,1,,,2,0,493,89900,1498,0,False,,,,0,0,0,1,0,0,1,0,0,0,0,,0,,,,,,,piso,134
95,,4,2,,,4,0,724,144900,1525,0,False,,,,1,0,0,1,0,0,0,0,0,0,0,,0,,,,,,,piso,132
76,,3,1,,,2,0,583,110000,1447,1,False,,,,0,0,0,1,0,0,1,0,0,0,0,,0,,,,,,,piso,134
51,,2,1,,,semi-sotano,1,508,93000,1824,0,False,,,,0,0,,,0,0,0,0,0,0,0,,0,,,,,,,piso,134
134,,3,2,,,2,0,666,130000,970,0,False,,,,0,0,1,,0,0,0,0,0,0,0,,0,,,,,,,piso,134
62,,2,1,,,2,0,557,104000,1677,0,,,0,1,0,0,,1,0,0,1,0,0,0,0,,0,,,,,,,piso,134
75,68,3,1,,,3,0,698,138000,1840,0,False,1984,0,1,1,1,0,1,0,0,1,0,0,0,0,,1,1,0,0,0,0,1,piso,134
112,83,4,2,,,2,0,1148,280000,2500,0,False,,0,1,0,1,1,1,0,1,0,0,1,1,1,,1,1,0,0,1,1,1,piso,131
65,63,3,1,,,1,0,744,150000,2308,1,False,1976,0,1,0,1,1,1,0,1,0,0,0,0,0,,0,,,,,,,piso,133
70,63,2,1,,,3,0,728,145900,2084,0,False,1968,0,1,1,1,0,1,0,0,1,1,0,0,0,,0,,,0,0,1,0,piso,134
75,,1,1,,,1,0,505,92500,1233,0,,2008,0,1,1,1,1,1,0,0,0,1,0,1,0,,0,,,1,1,1,1,piso,134
123,,3,2,,,7,0,1195,298000,2423,0,False,2002,0,1,1,1,1,1,0,1,0,0,1,0,0,,1,1,0,,,,,piso,133
61,,3,1,,,2,0,539,99900,1638,0,,,0,1,1,0,,1,0,0,1,0,0,0,0,,0,,,,,,,piso,134
72,66,2,1,,,3,0,698,138000,1917,0,False,,0,1,1,1,0,1,0,0,0,1,0,0,0,,1,1,0,,,,,piso,134
