sq_mt_built,n_bathrooms,n_rooms,rent_price,n_bathrooms,sq_mt_built,buy_price_by_area,has_garden,has_pool,neighborhood,has_pool,buy_price
64.0,1.0,2,471,1.0,64.0,1328,0,0,135,0,85000
70.0,1.0,3,666,1.0,70.0,1856,0,0,132,0,129900
94.0,2.0,2,722,2.0,94.0,1535,0,0,134,0,144247
64.0,1.0,2,583,1.0,64.0,1717,0,0,134,0,109900
108.0,2.0,2,1094,2.0,108.0,2407,0,1,133,1,260000
126.0,2.0,4,901,2.0,126.0,1548,0,0,134,0,195000
120.0,2.0,5,884,2.0,120.0,1583,0,1,134,1,190000
125.0,2.0,3,912,2.0,125.0,1588,0,0,134,0,198500
84.0,2.0,3,954,2.0,84.0,2524,0,1,131,1,212000
85.0,1.0,2,672,1.0,85.0,1546,0,0,133,0,131400
69.0,2.0,2,617,2.0,69.0,1710,0,0,134,0,118000
122.0,2.0,3,1058,2.0,122.0,2024,0,1,131,1,246900
123.0,2.0,3,901,2.0,123.0,1585,0,0,133,0,195000
109.0,2.0,3,933,2.0,109.0,1881,0,0,132,0,205000
64.0,1.0,3,408,1.0,64.0,1125,0,0,135,0,72000
115.0,1.0,3,780,1.0,115.0,1391,0,0,133,0,160000
115.0,1.0,3,867,1.0,115.0,1608,0,0,133,0,184900
65.0,1.0,3,494,1.0,65.0,1385,0,0,132,0,90000
75.0,1.0,3,666,1.0,75.0,1732,0,0,134,0,129900
60.0,1.0,2,516,1.0,60.0,1582,0,0,135,0,94900
60.0,1.0,2,493,1.0,60.0,1498,0,0,134,0,89900
95.0,2.0,4,724,2.0,95.0,1525,0,0,132,0,144900
76.0,1.0,3,583,1.0,76.0,1447,0,0,134,0,110000
51.0,1.0,2,508,1.0,51.0,1824,0,0,134,0,93000
134.0,2.0,3,666,2.0,134.0,970,0,0,134,0,130000
62.0,1.0,2,557,1.0,62.0,1677,0,0,134,0,104000
75.0,1.0,3,698,1.0,75.0,1840,0,0,134,0,138000
112.0,2.0,4,1148,2.0,112.0,2500,0,1,131,1,280000
65.0,1.0,3,744,1.0,65.0,2308,0,1,133,1,150000
70.0,1.0,2,728,1.0,70.0,2084,0,0,134,0,145900
75.0,1.0,1,505,1.0,75.0,1233,0,0,134,0,92500
123.0,2.0,3,1195,2.0,123.0,2423,0,1,133,1,298000
61.0,1.0,3,539,1.0,61.0,1638,0,0,134,0,99900
72.0,1.0,2,698,1.0,72.0,1917,0,0,134,0,138000
61.0,1.0,3,539,1.0,61.0,1639,0,0,131,0,100000
71.0,1.0,3,672,1.0,71.0,1851,0,0,134,0,131400
87.0,1.0,3,521,1.0,87.0,1103,0,0,133,0,96000
60.0,1.0,2,758,1.0,60.0,2567,0,0,134,0,154000
78.0,1.0,4,731,1.0,78.0,1881,0,0,132,0,146700
52.0,1.0,1,505,1.0,52.0,1779,0,0,133,0,92500
75.0,1.0,0,465,1.0,75.0,1117,0,0,134,0,83800
97.0,2.0,2,1111,2.0,97.0,2744,0,1,131,1,266122
93.0,2.0,2,1004,2.0,93.0,2455,0,1,131,1,228273
103.0,2.0,4,823,2.0,103.0,1669,0,0,132,0,171900
83.0,2.0,2,1004,2.0,83.0,2750,0,1,131,1,228273
45.0,1.0,2,471,1.0,45.0,1889,0,0,133,0,85000
120.0,2.0,3,1195,2.0,120.0,2483,0,1,133,1,298000
74.0,1.0,3,702,1.0,74.0,1878,0,0,132,0,139000
126.0,2.0,4,1135,2.0,126.0,2183,0,1,131,1,275000
158.0,2.0,3,1172,2.0,158.0,1829,0,1,131,1,289000
65.0,1.0,2,604,1.0,65.0,1769,0,0,133,0,115000
108.0,2.0,3,847,2.0,108.0,1657,0,0,132,0,179000
62.0,1.0,2,638,1.0,62.0,1984,0,0,134,0,123000
51.0,1.0,2,492,1.0,51.0,1755,0,0,133,0,89500
112.0,2.0,3,1172,2.0,112.0,2580,0,1,131,1,289000
109.0,2.0,3,968,2.0,109.0,1984,0,1,131,1,216278
107.0,2.0,3,940,2.0,107.0,1939,0,1,131,1,207503
76.0,2.0,2,790,2.0,76.0,2142,0,1,131,1,162793
105.0,2.0,3,933,2.0,105.0,1952,0,1,131,1,204999
109.0,2.0,3,982,2.0,109.0,2026,0,1,131,1,220879
108.0,2.0,3,974,2.0,108.0,2021,0,1,131,1,218258
109.0,2.0,3,1014,2.0,109.0,2127,0,1,131,1,231855
76.0,2.0,2,793,2.0,76.0,2150,0,1,131,1,163397
76.0,2.0,2,783,2.0,76.0,2115,0,1,131,1,160759
108.0,2.0,3,970,2.0,108.0,2011,0,1,131,1,217169
76.0,2.0,2,799,2.0,76.0,2174,0,1,131,1,165208
109.0,2.0,3,978,2.0,109.0,2016,0,1,131,1,219775
108.0,2.0,3,1011,2.0,108.0,2137,0,1,131,1,230817
108.0,2.0,3,960,2.0,108.0,1979,0,1,131,1,213722
111.0,2.0,2,1011,2.0,111.0,2079,0,1,131,1,230749
115.0,2.0,3,1020,2.0,115.0,2033,0,1,131,1,233789
115.0,2.0,3,1011,2.0,115.0,2007,0,1,131,1,230789
117.0,2.0,3,1050,2.0,117.0,2087,0,1,131,1,244171
117.0,2.0,3,1048,2.0,117.0,2081,0,1,131,1,243468
117.0,2.0,3,1052,2.0,117.0,2092,0,1,131,1,244798
118.0,2.0,3,977,2.0,118.0,1858,0,1,131,1,219235
115.0,2.0,3,1046,2.0,115.0,2111,0,1,131,1,242789
97.0,1.0,4,666,1.0,97.0,1340,0,0,134,0,130000
106.0,2.0,3,1071,2.0,106.0,2373,0,1,131,1,251569
103.0,2.0,3,1025,2.0,103.0,2285,0,1,131,1,235402
103.0,2.0,3,1024,2.0,103.0,2283,0,1,131,1,235172
103.0,2.0,3,1027,2.0,103.0,2293,0,1,131,1,236227
114.0,2.0,3,1080,2.0,114.0,2234,0,1,131,1,254710
58.0,1.0,3,471,1.0,58.0,1466,0,0,133,0,85000
65.0,1.0,3,512,1.0,65.0,1446,0,0,135,0,94000
110.0,2.0,4,833,2.0,110.0,1591,0,0,133,0,175000
173.0,2.0,4,1116,2.0,173.0,1549,0,1,131,1,268000
75.0,1.0,2,766,1.0,75.0,2080,0,0,134,0,156000
90.0,1.0,1,861,1.0,90.0,2035,0,1,131,1,183159
125.0,2.0,3,948,2.0,125.0,1680,0,0,133,0,210000
