n_bathrooms,rent_price,n_rooms,sq_mt_built,buy_price_by_area,has_garden,buy_price
3.0,1135,3,125.0,2200,0,275000
2.0,1128,3,125.0,2180,0,272500
1.0,777,2,150.0,1060,0,159000
3.0,1128,3,140.0,1946,0,272500
1.0,933,2,108.0,1898,0,205000
1.0,762,3,115.0,1347,0,154900
3.0,1135,3,125.0,2200,0,275000
2.0,1108,3,103.0,2573,0,265000
3.0,1299,3,140.0,2429,0,340000
3.0,1850,4,240.0,2417,0,580000
3.0,1052,3,115.0,2130,0,245000
3.0,1393,4,242.0,1570,0,380000
1.0,1200,3,166.0,1807,0,300000
2.0,847,3,118.0,1517,0,179000
2.0,1299,4,147.0,2313,0,340000
2.0,780,3,80.0,2000,0,160000
3.0,1655,8,274.0,1807,0,495000
3.0,1135,3,125.0,2200,0,275000
2.0,1067,3,120.0,2083,0,250000
3.0,1275,5,200.0,1650,0,330000
2.0,1148,3,116.0,2414,0,280000
3.0,1035,3,133.0,1797,0,239000
2.0,1177,3,107.0,2720,0,291000
2.0,1299,3,152.0,2237,0,340000
2.0,1174,3,158.0,1835,0,289900
1.0,1067,3,70.0,3571,0,250000
2.0,1064,2,117.0,2128,0,249000
3.0,1535,4,166.0,2663,0,442000
3.0,1544,4,167.0,2671,0,446000
3.0,1530,4,173.0,2543,0,440000
3.0,1298,4,285.0,1192,0,339841
3.0,1294,4,268.0,1261,0,338066
3.0,1293,4,268.0,1260,0,337631
1.0,1191,2,137.0,2164,0,296500
2.0,1405,5,275.0,1400,0,385000
3.0,1257,3,127.0,2543,0,323000
3.0,1346,4,177.0,2034,0,360000
2.0,1213,3,115.0,2652,0,305000
3.0,994,3,105.0,2143,0,225000
3.0,1284,4,149.0,2242,1,334000
3.0,1306,4,149.0,2302,1,343000
3.0,1318,4,248.0,1403,1,348000
3.0,1323,3,205.0,1707,1,350000
3.0,1290,3,149.0,2258,1,336403
3.0,1283,3,149.0,2237,1,333279
3.0,1544,4,166.0,2687,0,446000
3.0,1587,4,173.0,2688,0,465000
3.0,1569,4,173.0,2642,0,457000
3.0,1301,4,265.0,1286,0,340870
3.0,1300,4,265.0,1286,0,340700
3.0,1303,4,268.0,1275,0,341767
3.0,1544,4,166.0,2687,0,446000
3.0,1530,4,172.0,2558,1,440000
3.0,1587,4,173.0,2688,1,465000
3.0,1587,4,174.0,2672,1,465000
2.0,1200,3,172.0,1744,0,300000
2.0,1485,3,350.0,1200,0,420000
2.0,948,6,180.0,1167,0,210000
3.0,1330,4,149.0,2369,1,353000
3.0,1327,4,149.0,2362,1,352000
3.0,1318,4,248.0,1403,1,348000
3.0,1332,4,149.0,2376,1,354000
3.0,1478,4,306.0,1363,1,417000
3.0,1332,4,248.0,1428,1,354100
3.0,1330,4,248.0,1423,1,353000
3.0,1332,4,248.0,1427,1,354000
2.0,1275,3,150.0,2200,0,330000
2.0,1322,4,155.0,2255,1,349500
2.0,1485,3,350.0,1200,0,420000
3.0,1897,4,313.0,1917,1,600000
2.0,1157,3,124.0,2286,0,283498
2.0,1153,3,124.0,2273,0,281830
3.0,1485,4,165.0,2545,1,420000
3.0,1485,3,165.0,2545,1,420000
3.0,1634,3,166.0,2925,1,485500
3.0,1634,3,158.0,3073,1,485500
3.0,1656,3,154.0,3218,1,495500
3.0,1691,3,164.0,3113,1,510500
3.0,1656,3,168.0,2949,1,495500
3.0,1530,4,193.0,2280,0,440000
2.0,1320,3,122.0,2858,0,348700
3.0,1610,4,207.0,2296,1,475200
3.0,1600,4,204.0,2307,1,470700
3.0,1587,4,208.0,2236,1,465000
3.0,1573,4,204.0,2248,1,458600
3.0,1571,4,208.0,2201,1,457800
3.0,1638,4,264.0,1846,1,487300
3.0,1724,4,264.0,1989,1,525100
3.0,1530,3,180.0,2444,0,440000
3.0,2070,3,297.0,2273,1,675000
3.0,1286,4,147.0,2276,0,334508
3.0,1286,4,147.0,2277,0,334669
3.0,1439,5,230.0,1739,1,399900
3.0,1393,5,202.0,1881,1,379900
3.0,1484,4,156.0,2690,0,419600
3.0,1450,4,156.0,2594,0,404600
3.0,1381,4,156.0,2401,0,374600
2.0,1363,4,189.0,1942,0,367000
3.0,1450,4,156.0,2594,0,404600
3.0,2035,4,350.0,1886,0,660000
1.0,658,0,56.0,2286,0,128000
3.0,1485,5,230.0,1826,1,419900
3.0,1285,4,147.0,2274,0,334312
3.0,1598,3,269.0,1747,1,470000
3.0,1598,3,270.0,1741,1,470000
3.0,1655,3,291.0,1701,1,495000
4.0,1594,4,300.0,1560,1,468000
1.0,583,1,70.0,1571,0,110000
1.0,654,0,55.0,2309,0,127000
1.0,604,0,60.0,1917,0,115000
2.0,539,1,48.0,2083,0,100000
3.0,1862,5,230.0,2543,1,585000
3.0,1710,5,352.0,1474,1,519000
1.0,833,1,56.0,3125,0,175000
3.0,994,2,97.0,2320,0,225000
1.0,780,1,50.0,3200,0,160000
2.0,686,1,70.0,1929,0,135000
2.0,1163,3,121.0,2360,0,285577
3.0,2103,4,350.0,1971,1,690000
2.0,1363,4,189.0,1942,0,367000
3.0,2103,4,350.0,1971,1,690000
3.0,1655,3,281.0,1762,1,495000
3.0,1827,4,349.0,1633,1,570000
3.0,1262,3,228.0,1425,0,325000
3.0,1370,5,194.0,1907,1,369900
1.0,561,0,61.0,1721,0,105000
1.0,621,0,55.0,2164,0,119000
2.0,1122,3,150.0,1800,0,270000
1.0,725,3,70.0,2071,0,145000
2.0,740,3,90.0,1656,0,149000
2.0,1038,3,81.0,2963,1,240000
2.0,881,3,81.0,2333,0,189000
2.0,1038,3,81.0,2963,0,240000
2.0,2234,4,234.0,3205,0,750000
2.0,1505,4,132.0,3250,0,429000
3.0,1553,4,172.0,2616,0,450000
2.0,979,3,95.0,2316,0,220000
2.0,1200,2,120.0,2500,0,300000
2.0,917,3,80.0,2500,0,200000
1.0,917,2,71.0,2817,0,200000
2.0,1200,2,105.0,2857,0,300000
2.0,705,3,85.0,1646,0,139900
2.0,1143,2,130.0,2138,0,278000
2.0,979,3,90.0,2444,0,220000
1.0,1122,3,120.0,2250,0,270000
2.0,942,3,111.0,1874,0,208000
1.0,1122,1,90.0,3000,0,270000
3.0,2245,4,186.0,4059,0,755000
3.0,1200,4,180.0,1667,0,300000
2.0,881,3,114.0,1658,0,189000
2.0,1065,3,94.0,2655,0,249600
2.0,1111,3,180.0,1478,0,266000
2.0,942,3,111.0,1874,1,208000
1.0,686,3,93.0,1452,0,135000
2.0,868,2,120.0,1542,0,185000
2.0,881,3,81.0,2333,1,189000
2.0,1200,2,144.0,2083,0,300000
1.0,769,3,65.0,2415,0,157000
1.0,894,1,42.0,4595,0,193000
3.0,-1755,3,257.0,5739,0,1475000
4.0,-303,4,295.0,4746,0,1400000
2.0,1108,2,80.0,3312,0,265000
2.0,1200,3,75.0,4000,0,300000
3.0,1598,3,138.0,3406,0,470000
2.0,1428,2,67.0,5896,0,395000
2.0,1213,1,51.0,5980,0,305000
2.0,1370,3,90.0,4111,0,370000
4.0,2347,6,350.0,3143,0,1100000
1.0,809,1,57.0,2947,0,168000
2.0,967,2,86.0,2512,0,216000
2.0,1094,1,78.0,3333,0,260000
1.0,1262,1,80.0,4062,0,325000
2.0,2378,3,223.0,3700,0,825000
4.0,-1755,3,275.0,5364,0,1475000
1.0,1038,0,50.0,4800,0,240000
1.0,740,1,42.0,3548,0,149000
2.0,1318,4,92.0,3783,0,348000
2.0,1318,4,92.0,3783,0,348000
2.0,1200,3,75.0,4000,0,300000
2.0,1781,0,185.0,2973,0,550000
1.0,777,2,45.0,3533,0,159000
2.0,1451,3,86.0,4709,0,405000
4.0,2452,4,280.0,3125,0,875000
2.0,1250,3,146.0,2192,0,320000
2.0,1508,3,96.0,4479,0,430000
1.0,851,1,65.0,2769,0,180000
2.0,1416,2,65.0,6000,0,390000
1.0,994,1,80.0,2812,0,225000
3.0,1462,3,95.0,4316,0,410000
2.0,1299,2,110.0,3091,0,340000
3.0,1685,3,152.0,3342,0,508000
2.0,1187,1,87.0,3391,0,295000
2.0,1187,2,87.0,3391,0,295000
2.0,1122,2,80.0,3375,0,270000
2.0,1416,2,100.0,3900,0,390000
1.0,654,1,60.0,2117,0,127000
1.0,1094,1,72.0,3611,0,260000
2.0,948,1,55.0,3818,0,210000
3.0,1897,3,261.0,2299,0,600000
3.0,2352,5,295.0,2746,0,810000
2.0,1135,3,95.0,2895,0,275000
3.0,1685,3,145.0,3503,0,508000
1.0,1058,2,70.0,3529,0,247000
2.0,2514,3,130.0,7308,0,950000
3.0,1701,3,152.0,3388,0,515000
1.0,646,1,40.0,3125,0,125000
3.0,1507,3,95.0,4525,0,429900
